"segment_code","segment_description","id","parent"
"GF01","General Public Services","services","central"
"GF02","Defence","defence","central"
"GF03","General Public Order & Safety","order & safety","central"
"GF04","Economic Affairs","economic affairs","central"
"GF05","Environmental Protection","environment","central"
"GF06","Housing & Community Development","housing","central"
"GF07","Health","health","central"
"GF08","Recreation","recreation","central"
"GF09","Education","education","central"
"GF10","Social Protection","social protection","central"
